0xffa1ad74, VERSION, abiLoanToken
0x7288b344, _supplyInterestRate, abiLoanToken
0xdd62ed3e, allowance, abiLoanToken
0x095ea7b3, approve, abiLoanToken
0x06b3efd6, assetBalanceOf, abiLoanToken
0x44a4a003, avgBorrowInterestRate, abiLoanToken
0xe4a72b13, bZxContractAddress, abiLoanToken
0x70a08231, balanceOf, abiLoanToken
0x1f68f20a, baseRate, abiLoanToken
0x2ea295fa, borrow, abiLoanToken
0x8325a1c0, borrowInterestRate, abiLoanToken
0x9dc29fac, burn, abiLoanToken
0xeebc5081, checkpointPrice, abiLoanToken
0x7b7933b4, checkpointSupply, abiLoanToken
0xc91d59fe, gasToken, abiLoanToken
0xc5bf0e9d, flashBorrow, abiLoanToken
0x04797930, getBorrowAmountForDeposit, abiLoanToken
0x313ce567, decimals, abiLoanToken
0x631a3ef8, getDepositAmountForBorrow, abiLoanToken
0x6b40cd40, getEstimatedMarginDetails, abiLoanToken
0x829b38f4, getMaxEscrowAmount, abiLoanToken
0x1d0806ae, initialPrice, abiLoanToken
0x8f32d59b, isOwner, abiLoanToken
0x3291c11a, loanParamsIds, abiLoanToken
0x797bf385, loanTokenAddress, abiLoanToken
0xd759dbeb, lowUtilBaseRate, abiLoanToken
0x7e37c08c, lowUtilRateMultiplier, abiLoanToken
0x14dfe792, marginTrade, abiLoanToken
0x612ef80b, marketLiquidity, abiLoanToken
0x40c10f19, mint, abiLoanToken
0x06fdde03, name, abiLoanToken
0xb9fe1a8f, nextBorrowInterestRate, abiLoanToken
0xd65a5021, nextSupplyInterestRate, abiLoanToken
0x8da5cb5b, owner, abiLoanToken
0x54198ce9, profitOf, abiLoanToken
0x330691ac, rateMultiplier, abiLoanToken
0x95d89b41, symbol, abiLoanToken
0x09ec6b6b, supplyInterestRate, abiLoanToken
0x420a83e7, tokenHolder, abiLoanToken
0x7ff9b596, tokenPrice, abiLoanToken
0x8fb807c5, totalAssetSupply, abiLoanToken
0x20f6d07c, totalAssetBorrow, abiLoanToken
0x18160ddd, totalSupply, abiLoanToken
0x12416898, totalSupplyInterestRate, abiLoanToken
0xa9059cbb, transfer, abiLoanToken
0x23b872dd, transferFrom, abiLoanToken
0xf2fde38b, transferOwnership, abiLoanToken
0x284e2f56, updateSettings, abiLoanToken
0x0f9dad71, wethTokenAddress, abiLoanToken
0xffa1ad74, VERSION, abiStopFunction
0x7288b344, _supplyInterestRate, abiStopFunction
0xdd62ed3e, allowance, abiStopFunction
0x095ea7b3, approve, abiStopFunction
0x06b3efd6, assetBalanceOf, abiStopFunction
0x70a08231, balanceOf, abiStopFunction
